City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,atafu village,-8.5421,-172.5159,302.11,76,100,6.18,TK,1683313629
153,moultonborough,43.7548,-71.3967,289.26,58,100,2.24,US,1683313629
154,mirnyy,62.5353,113.9611,276.06,80,100,4.92,RU,1683313629
155,gagliano del capo,39.8442,18.3695,288.6,75,9,6.05,IT,1683313630
156,hamilton,39.1834,-84.5333,296.98,38,0,2.57,US,1683313180
157,kasulu,-4.5767,30.1025,291.7,92,10,1.01,TZ,1683313630
158,east london,-33.0153,27.9116,293.34,85,47,6.23,ZA,1683313630
159,howard springs,-12.497,131.047,299.1,81,100,1.95,AU,1683313631
160,lebu,-37.6167,-73.65,287.68,79,0,8.17,CL,1683313631
161,ludington,43.9553,-86.4526,295.25,28,40,5.66,US,1683313631
162,yugorsk,61.3133,63.3319,279.59,82,100,1.62,RU,1683313631
163,masaya sur,16.497,121.7456,296.75,87,43,1.25,PH,1683313632
164,banyuls de la marenda,42.4837,3.129,292.6,84,11,2.06,FR,1683313632
165,weno,7.4515,151.8468,300.12,83,100,2.57,FM,1683313633
166,anadyr,64.75,177.4833,265.43,86,100,1.0,RU,1683313633
167,tocopilla,-22.092,-70.1979,293.22,61,14,3.03,CL,1683313633
168,badger,64.8,-147.5333,280.77,48,40,2.57,US,1683313634
169,carnarvon,-24.8667,113.6333,296.53,58,60,7.04,AU,1683313634
170,st. john's,47.5649,-52.7093,277.47,98,100,10.8,CA,1683313437
171,west island,-12.1568,96.8225,299.14,94,100,4.63,CC,1683313635
172,tvoroyri,61.5556,-6.8111,280.99,85,100,12.65,FO,1683313635
173,hasaki,35.7333,140.8333,293.83,75,100,13.83,JP,1683313635
174,ostroda,53.6967,19.9649,278.55,64,100,4.2,PL,1683313636
175,severo-yeniseyskiy,60.3725,93.0408,275.19,97,100,3.35,RU,1683313636
176,chernogorsk,53.8236,91.2842,281.91,43,0,2.0,RU,1683313636
177,madang,-5.2246,145.7966,298.27,89,100,1.33,PG,1683313636
178,guasdualito,7.2424,-70.7324,308.15,41,100,4.12,VE,1683313637
179,broken hill,-31.95,141.4333,284.33,83,5,3.64,AU,1683313640
180,kavaratti,10.5669,72.642,301.67,71,92,2.98,IN,1683313640
181,jayapura,-2.5333,140.7,297.81,92,100,2.15,ID,1683313641
182,kingston,17.997,-76.7936,305.51,70,20,10.8,JM,1683313573
183,ushuaia,-54.8,-68.3,287.96,33,40,6.69,AR,1683313614
184,luderitz,-26.6481,15.1594,287.3,80,80,3.61,NA,1683313642
185,hendrina,-26.1588,29.7153,287.58,42,63,0.25,ZA,1683313642
186,ola,59.5833,151.2833,272.48,85,100,0.76,RU,1683313643
187,nouadhibou,20.931,-17.0347,295.14,64,100,9.26,MR,1683313643
188,chegdomyn,51.1167,133.0167,274.28,82,86,0.43,RU,1683313643
189,novaya igirma,57.1334,103.9112,277.96,87,100,4.29,RU,1683313644
190,aoulef,26.9667,1.0833,308.8,6,7,3.93,DZ,1683313644
191,flying fish cove,-10.4217,105.6791,297.97,94,96,1.54,CX,1683313645
192,klaipeda,55.7172,21.1175,276.18,58,6,5.97,LT,1683313645
193,prado,-17.3411,-39.2208,299.38,73,5,3.66,BR,1683313645
194,malvan,16.0667,73.4667,300.47,74,100,2.92,IN,1683313646
195,puerto montt,-41.4698,-72.9447,285.61,100,100,4.63,CL,1683313646
196,ban phan don,17.1427,102.9726,306.43,99,96,3.46,TH,1683313647
197,pisco,-13.7,-76.2167,296.18,73,0,3.6,PE,1683313647
198,sungailiat,-1.85,106.1333,299.64,85,53,1.8,ID,1683313647
199,carolina beach,34.0352,-77.8936,297.19,49,100,4.2,US,1683313433
200,song cau,13.45,109.2167,299.05,89,99,1.87,VN,1683313648
201,voss,60.623,6.4229,282.89,61,15,2.31,NO,1683313369
202,saynshand,44.8824,110.1163,281.38,25,64,0.85,MN,1683313649
203,khabarovsk,48.4808,135.0928,274.04,86,37,2.0,RU,1683313509
204,longyearbyen,78.2186,15.6401,271.06,74,75,4.63,SJ,1683313650
205,polohy,47.4844,36.2536,287.18,57,9,1.11,UA,1683313650
206,es castell,39.8795,4.2854,292.53,82,0,3.6,ES,1683313651
207,yacuiba,-22.038,-63.6797,288.3,70,100,1.06,BO,1683313651
208,chonchi,-42.6128,-73.8092,287.1,84,100,1.15,CL,1683313651
209,al hazm,16.1641,44.7769,303.8,37,94,1.45,YE,1683313651
210,tual,-5.6667,132.75,300.65,84,100,7.85,ID,1683313652
211,igarka,67.4667,86.5833,271.93,96,100,6.59,RU,1683313652
212,kamaishi,39.2667,141.8833,286.61,92,100,1.36,JP,1683313653
213,south hedland,-20.4089,118.5983,296.11,40,100,3.6,AU,1683313653
214,afaahiti,-17.75,-149.2833,301.08,82,100,9.9,PF,1683313653
215,pervomayskoye,43.919,46.7102,287.36,79,91,1.75,RU,1683313654
216,fale old settlement,-9.3852,-171.2468,302.28,75,100,6.85,TK,1683313654
217,praia,14.9215,-23.5087,298.45,69,20,11.32,CV,1683313654
218,constantia,44.1833,28.65,284.53,75,5,1.95,RO,1683313535
219,laguna,38.421,-121.4238,291.17,57,100,4.63,US,1683313655
220,kirensk,57.7853,108.1119,277.08,83,100,4.66,RU,1683313655
221,chinde,26.8418,88.0763,290.06,69,38,1.81,NP,1683313656
222,tidjikja,18.5564,-11.4271,309.06,9,3,4.52,MR,1683313656
223,polyarnyy,69.1989,33.4478,271.32,91,100,1.84,RU,1683313656
224,sao miguel do araguaia,-13.275,-50.1628,304.13,51,2,1.36,BR,1683313599
225,el tigre,8.8875,-64.2454,307.99,27,100,6.08,VE,1683313657
226,n'zeto,-7.2312,12.8666,298.47,84,100,1.57,AO,1683313657
227,storrs,41.8084,-72.2495,288.65,60,75,1.54,US,1683313657
228,ebon,4.582,168.6964,301.71,77,45,5.11,MH,1683313657
229,tukrah,32.5341,20.5791,290.37,80,62,6.88,LY,1683313658
230,tolanaro,-25.0319,46.9987,294.53,92,29,4.19,MG,1683313658
231,kovur,14.4833,79.9833,300.26,80,100,1.03,IN,1683313658
232,hualien city,23.9769,121.6044,298.84,75,20,2.9,TW,1683313659
233,vorgashor,67.5833,63.95,269.28,95,97,4.29,RU,1683313659
234,hauterive,46.0901,3.4459,290.57,90,100,0.63,FR,1683313659
235,remire-montjoly,4.9167,-52.2667,301.17,78,75,7.2,GF,1683313660
236,boyolangu,-8.1181,111.8935,297.85,94,100,1.58,ID,1683313661
237,sechura,-5.5569,-80.8222,302.58,57,5,4.65,PE,1683313661
238,firuzabad,28.8438,52.5707,291.92,10,0,1.6,IR,1683313661
239,kete krachi,7.7939,-0.0498,302.91,62,51,2.45,GH,1683313662
240,jurm,36.8648,70.8342,286.86,55,100,2.67,AF,1683313662
241,san jose del cabo,23.0589,-109.6977,302.92,60,11,3.13,MX,1683313396
242,vanino,49.0869,140.2543,273.14,84,91,0.81,RU,1683313663
243,puerto escondido,15.85,-97.0667,308.61,55,0,5.14,MX,1683313664
244,mogocha,53.7333,119.7667,272.3,77,64,1.35,RU,1683313664
245,nanyamba,-10.6833,39.8333,293.26,97,0,1.27,TZ,1683313665
246,camana,-16.6228,-72.7111,294.8,75,100,5.03,PE,1683313665
247,bonito,-21.1211,-56.4819,302.63,58,31,2.16,BR,1683313665
248,lorengau,-2.0226,147.2712,300.5,78,100,3.33,PG,1683313665
249,steinbach,50.1667,8.5667,290.69,63,0,2.57,DE,1683313666
250,jiazi,22.8779,116.067,297.69,93,5,2.8,CN,1683313666
251,sisimiut,66.9395,-53.6735,273.99,78,100,2.18,GL,1683313666
252,anori,-3.7728,-61.6442,303.26,68,75,1.62,BR,1683313667
253,kon tum,14.35,108.0,296.26,72,70,0.99,VN,1683313667
254,magdagachi,53.45,125.8,275.92,75,100,2.19,RU,1683313667
255,geraldton,-28.7667,114.6,293.38,73,100,10.29,AU,1683313668
256,jijona,38.5409,-0.5026,291.22,87,20,1.34,ES,1683313668
257,lady frere,-31.7031,27.2329,285.6,57,0,2.23,ZA,1683313668
258,ancud,-41.8697,-73.8203,287.46,82,100,2.14,CL,1683313669
259,puerto baquerizo moreno,-0.9,-89.6,303.7,74,20,5.14,EC,1683313669
260,diego de almagro,-26.3667,-70.05,294.36,23,97,4.69,CL,1683313669
261,enewetak,11.3474,162.3373,300.47,79,85,8.92,MH,1683313669
262,alofi,-19.0595,-169.9187,297.27,86,100,6.08,NU,1683313670
263,jizzax,40.1158,67.8422,290.48,21,100,11.02,UZ,1683313670
264,cambria,35.5641,-121.0808,291.72,85,39,2.24,US,1683313670
265,halifax,44.6453,-63.5724,284.38,58,40,5.66,CA,1683313558
266,san angelo,31.4638,-100.437,310.12,21,40,6.69,US,1683313671
267,zheleznogorsk-ilimskiy,56.5768,104.1217,275.19,83,100,2.42,RU,1683313671
268,nelson bay,-32.7167,152.15,287.04,97,0,3.58,AU,1683313671
269,port saint john's,-31.6229,29.5448,294.4,81,71,4.71,ZA,1683313672
270,nuuk,64.1835,-51.7216,278.49,70,40,4.02,GL,1683313473
271,bikenibeu village,1.3673,173.1241,301.13,83,75,2.57,KI,1683313672
272,codrington,-38.2667,141.9667,283.34,58,99,4.01,AU,1683313672
273,fort bragg,35.139,-79.006,298.61,33,20,2.06,US,1683313673
274,melfi,40.9965,15.6514,287.31,82,48,0.91,IT,1683313673
275,jwaneng,-24.6004,24.7303,294.72,37,35,1.9,BW,1683313673
276,champerico,14.3,-91.9167,310.45,60,60,4.95,GT,1683313673
277,ceres,37.5949,-120.9577,290.82,68,100,1.54,US,1683313648
278,nizhneangarsk,55.7833,109.55,270.54,81,100,0.28,RU,1683313674
279,puerto aysen,-45.4,-72.7,286.17,88,100,3.09,CL,1683313674
280,queenstown,-31.8976,26.8753,285.05,55,0,0.95,ZA,1683313675
281,mhamid,29.82,-5.72,307.47,6,100,8.34,MA,1683313675
282,nichinan,31.6,131.3667,292.91,92,100,4.49,JP,1683313675
283,turpan,42.9333,89.1667,288.35,15,100,0.27,CN,1683313422
284,puerto ayora,-0.7393,-90.3518,304.13,89,72,3.58,EC,1683313676
285,kargasok,59.0556,80.8572,281.74,94,62,2.69,RU,1683313676
286,siddipet,18.1,78.85,299.63,69,46,2.13,IN,1683313676
287,lazaro cardenas,17.9583,-102.2,304.47,54,100,4.23,MX,1683313677
288,walvis bay,-22.9575,14.5053,287.09,77,4,4.67,NA,1683313677
289,qui nhon,13.7667,109.2333,299.52,90,90,1.88,VN,1683313677
290,el granada,37.5027,-122.4694,291.4,69,100,4.12,US,1683313677
291,boca suno,-0.7167,-77.1333,301.92,58,28,0.72,EC,1683313678
292,kingscliff,-28.2667,153.5667,286.91,94,0,1.54,AU,1683313678
293,udachny,66.4167,112.4,269.36,98,100,1.88,RU,1683313678
294,vila velha,-20.3297,-40.2925,302.12,77,20,4.12,BR,1683313429
